"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","7","a","2108","3","113"
"incongruent","1","2","4","l","996","2","113"
"incongruent","1","3","2","a","749","5","113"
"incongruent","1","3","6","l","492","3","113"
"congruent","1","1","2","l","592","3","113"
"congruent","1","3","4","l","498","7","113"
"congruent","1","2","4","l","538","6","113"
"congruent","1","2","4","a","605","2","113"
"incongruent","1","3","3","a","795","6","113"
"incongruent","1","1","3","a","770","4","113"
"congruent","1","2","3","l","565","5","113"
"congruent","1","4","3","l","1176","7","113"
"incongruent","1","1","5","l","755","4","113"
"incongruent","0","3","2","l","555","5","113"
"incongruent","1","3","5","l","1279","2","113"
"incongruent","1","4","3","a","606","7","113"
"incongruent","1","1","4","l","794","3","113"
"incongruent","1","4","4","a","747","8","113"
"incongruent","1","3","7","l","541","4","113"
"congruent","1","4","2","l","631","6","113"
"incongruent","1","3","5","l","595","2","113"
"congruent","1","3","5","a","515","2","113"
"congruent","1","4","6","a","909","2","113"
"congruent","1","3","4","l","496","7","113"
"congruent","1","4","3","l","532","7","113"
"incongruent","1","3","4","a","699","7","113"
"congruent","1","2","5","a","560","3","113"
"congruent","1","4","8","a","1049","4","113"
"congruent","1","3","5","a","531","2","113"
"congruent","1","4","4","l","565","8","113"
"congruent","1","1","2","l","916","3","113"
"congruent","1","3","6","a","462","3","113"
"incongruent","1","2","4","a","523","6","113"
"incongruent","1","4","7","l","588","3","113"
"congruent","1","1","3","l","524","4","113"
"incongruent","0","2","6","a","511","4","113"
"congruent","1","3","7","a","919","4","113"
"incongruent","1","2","4","a","592","6","113"
"incongruent","1","1","5","l","492","4","113"
"congruent","1","1","5","a","553","4","113"
"congruent","1","1","3","l","542","4","113"
"congruent","1","1","4","a","592","3","113"
"congruent","1","1","5","a","576","4","113"
"congruent","1","3","3","l","513","6","113"
"congruent","1","3","2","l","528","5","113"
"incongruent","1","1","3","l","616","2","113"
"incongruent","1","2","2","a","482","4","113"
"incongruent","1","4","6","l","655","2","113"
"congruent","1","2","6","a","500","4","113"
"congruent","1","4","7","a","495","3","113"
"incongruent","1","2","3","a","707","5","113"
"congruent","1","3","3","l","548","6","113"
"incongruent","1","1","4","a","813","5","113"
"incongruent","1","2","3","a","570","5","113"
"incongruent","1","3","4","a","484","7","113"
"incongruent","1","4","8","l","591","4","113"
"incongruent","0","3","7","a","574","4","113"
"incongruent","1","1","3","a","1181","4","113"
"incongruent","1","4","2","a","780","6","113"
"congruent","1","2","5","a","701","3","113"
"incongruent","1","2","4","l","605","2","113"
"congruent","1","1","3","a","940","2","113"
"congruent","1","3","7","a","526","4","113"
"incongruent","0","1","2","l","438","3","113"
"incongruent","1","4","4","a","463","8","113"
"congruent","1","2","6","a","478","4","113"
"congruent","1","3","2","l","578","5","113"
"congruent","1","4","6","a","514","2","113"
"incongruent","1","1","3","l","627","2","113"
"congruent","1","3","6","a","481","3","113"
"congruent","1","2","3","l","430","5","113"
"incongruent","1","4","2","a","547","6","113"
"congruent","1","1","4","l","485","5","113"
"congruent","1","1","4","a","369","3","113"
"congruent","0","2","4","l","461","2","113"
"incongruent","1","4","8","l","1130","4","113"
"congruent","1","4","2","l","491","6","113"
"incongruent","1","3","3","a","519","6","113"
"congruent","1","4","8","a","737","4","113"
"congruent","1","2","2","l","579","4","113"
"congruent","1","2","2","l","563","4","113"
"incongruent","0","4","6","a","488","2","113"
"congruent","1","1","4","l","1164","5","113"
"incongruent","1","1","4","a","548","5","113"
"incongruent","1","2","2","a","620","4","113"
"incongruent","1","2","5","l","627","3","113"
"incongruent","1","4","3","a","527","7","113"
"incongruent","1","2","6","l","515","4","113"
"incongruent","1","4","7","l","589","3","113"
"congruent","1","2","4","l","476","6","113"
"incongruent","1","1","4","l","639","3","113"
"incongruent","1","1","2","a","493","3","113"
"congruent","1","1","3","a","959","2","113"
"incongruent","1","2","5","l","575","3","113"
"incongruent","1","3","6","l","513","3","113"
"congruent","0","4","4","a","693","8","113"
"incongruent","1","1","3","a","623","4","113"
"incongruent","1","1","5","l","495","4","113"
"congruent","1","2","4","a","514","2","113"
"incongruent","1","2","4","l","435","2","113"
"incongruent","1","1","2","a","927","3","113"
"incongruent","1","2","2","a","836","4","113"
"incongruent","1","1","4","a","669","5","113"
"incongruent","1","2","6","l","577","4","113"
"congruent","1","1","3","l","659","4","113"
"incongruent","1","2","4","l","527","2","113"
"incongruent","1","4","6","l","418","2","113"
"incongruent","1","2","2","a","607","4","113"
"incongruent","1","1","3","l","494","2","113"
"incongruent","1","4","7","l","434","3","113"
"incongruent","1","1","3","a","446","4","113"
"incongruent","0","4","4","l","316","8","113"
"congruent","1","3","4","l","765","7","113"
"congruent","1","2","2","l","414","4","113"
"incongruent","1","3","3","a","467","6","113"
"incongruent","0","2","3","l","416","5","113"
"incongruent","1","3","4","a","791","7","113"
"congruent","1","4","2","l","563","6","113"
"incongruent","1","3","6","l","580","3","113"
"congruent","1","1","4","a","547","3","113"
"congruent","0","2","2","a","723","4","113"
"incongruent","1","1","5","l","1498","4","113"
"incongruent","1","4","7","l","474","3","113"
"incongruent","1","1","2","a","975","3","113"
"congruent","1","2","4","a","801","2","113"
"congruent","1","4","8","a","544","4","113"
"congruent","1","1","3","a","401","2","113"
"incongruent","1","4","2","a","414","6","113"
"incongruent","1","3","5","l","708","2","113"
"congruent","1","1","5","a","549","4","113"
"congruent","1","2","5","a","551","3","113"
"incongruent","1","3","7","l","511","4","113"
"congruent","1","1","5","a","544","4","113"
"incongruent","1","4","2","a","1252","6","113"
"incongruent","1","2","6","l","1214","4","113"
"incongruent","1","2","5","l","398","3","113"
"incongruent","0","4","4","l","509","8","113"
"congruent","1","3","3","l","1051","6","113"
"congruent","1","4","2","l","369","6","113"
"congruent","1","1","3","a","786","2","113"
"incongruent","1","2","4","a","577","6","113"
"congruent","1","1","2","l","594","3","113"
"congruent","1","3","4","l","400","7","113"
"congruent","1","1","4","l","399","5","113"
"congruent","1","3","7","a","351","4","113"
"congruent","0","3","6","l","367","3","113"
"incongruent","1","3","3","a","990","6","113"
"congruent","1","2","5","a","1406","3","113"
"congruent","1","2","3","l","627","5","113"
"congruent","1","4","6","a","801","2","113"
"incongruent","1","4","3","a","608","7","113"
"congruent","1","1","3","l","480","4","113"
"congruent","1","4","6","a","498","2","113"
"congruent","1","2","6","a","524","4","113"
"congruent","1","1","2","l","543","3","113"
"incongruent","1","1","4","l","496","3","113"
"congruent","1","4","7","a","565","3","113"
"incongruent","1","1","4","a","899","5","113"
"incongruent","1","1","3","l","558","2","113"
"incongruent","1","2","5","l","528","3","113"
"incongruent","1","3","4","a","690","7","113"
"incongruent","1","2","4","a","520","6","113"
"congruent","1","4","7","a","494","3","113"
"incongruent","1","3","5","l","497","2","113"
"incongruent","1","3","7","l","524","4","113"
"congruent","1","4","4","l","463","8","113"
"congruent","1","1","4","l","386","5","113"
"congruent","1","3","7","a","530","4","113"
"congruent","1","4","3","l","515","7","113"
"congruent","1","3","5","a","589","2","113"
"congruent","0","3","2","a","478","5","113"
"incongruent","1","4","8","l","555","4","113"
"incongruent","1","3","2","a","652","5","113"
"incongruent","1","1","4","l","496","3","113"
"congruent","1","1","4","a","532","3","113"
"congruent","1","4","8","a","765","4","113"
"congruent","1","3","6","a","758","3","113"
"incongruent","1","3","2","a","1148","5","113"
"congruent","1","2","6","a","381","4","113"
"incongruent","1","3","6","l","462","3","113"
"congruent","1","2","3","l","392","5","113"
"congruent","1","4","4","l","432","8","113"
"congruent","1","3","2","l","383","5","113"
"congruent","1","2","4","l","381","6","113"
"congruent","1","3","3","l","413","6","113"
"congruent","1","3","5","a","451","2","113"
"congruent","1","4","3","l","464","7","113"
"incongruent","1","4","3","a","1659","7","113"
"incongruent","1","4","6","l","1008","2","113"
"incongruent","1","2","3","a","613","5","113"
"incongruent","1","4","8","l","417","4","113"
"congruent","1","2","4","l","475","6","113"
"incongruent","1","2","3","a","881","5","113"
"congruent","1","3","6","a","640","3","113"
"incongruent","1","3","5","l","414","2","113"
"incongruent","1","1","4","a","589","5","113"
"incongruent","1","3","7","l","492","4","113"
"congruent","1","2","4","l","512","6","113"
"incongruent","1","4","8","l","385","4","113"
"congruent","0","3","7","l","353","4","113"
"incongruent","1","1","4","a","626","5","113"
"incongruent","1","3","2","a","575","5","113"
"incongruent","1","1","5","l","448","4","113"
"congruent","1","1","4","a","476","3","113"
"congruent","1","4","2","l","462","6","113"
"incongruent","1","2","6","l","548","4","113"
"incongruent","1","1","3","l","428","2","113"
"incongruent","1","1","2","a","580","3","113"
"incongruent","1","1","3","a","994","4","113"
"congruent","1","4","3","l","450","7","113"
"congruent","1","3","5","a","574","2","113"
"congruent","1","1","3","a","493","2","113"
"incongruent","1","2","4","l","417","2","113"
"congruent","1","2","2","l","764","4","113"
"congruent","1","1","5","a","560","4","113"
"congruent","1","4","6","a","672","2","113"
"incongruent","1","2","5","l","394","3","113"
"incongruent","1","2","4","a","673","6","113"
"incongruent","1","2","3","a","1054","5","113"
"congruent","1","4","8","a","515","4","113"
"incongruent","1","2","2","a","506","4","113"
"congruent","1","2","5","a","354","3","113"
"incongruent","1","2","4","a","561","6","113"
"incongruent","1","1","3","a","400","4","113"
"congruent","1","2","3","l","449","5","113"
"incongruent","1","4","3","a","461","7","113"
"incongruent","1","3","6","l","987","3","113"
"incongruent","1","3","2","a","497","5","113"
"congruent","1","4","4","l","572","8","113"
"congruent","1","1","4","l","492","5","113"
"congruent","1","4","6","a","573","2","113"
"incongruent","1","3","4","a","655","7","113"
"incongruent","1","1","4","l","490","3","113"
"congruent","1","4","4","l","510","8","113"
"incongruent","0","3","3","l","385","6","113"
"incongruent","1","4","6","l","740","2","113"
"congruent","1","3","3","l","479","6","113"
"congruent","1","2","3","l","500","5","113"
"incongruent","1","2","6","l","588","4","113"
"incongruent","1","4","8","l","446","4","113"
"incongruent","1","1","4","l","531","3","113"
"incongruent","1","3","3","a","556","6","113"
"congruent","1","3","3","l","669","6","113"
"incongruent","0","3","4","l","384","7","113"
"incongruent","1","4","7","l","541","3","113"
"congruent","1","1","3","l","503","4","113"
"congruent","1","1","5","a","530","4","113"
"congruent","1","4","7","a","547","3","113"
"incongruent","1","1","3","l","532","2","113"
"congruent","1","4","7","a","442","3","113"
"congruent","1","3","4","l","507","7","113"
"congruent","1","1","2","l","556","3","113"
"incongruent","1","4","4","a","493","8","113"
"congruent","1","3","7","a","704","4","113"
"incongruent","1","4","2","a","403","6","113"
"incongruent","1","4","2","a","387","6","113"
"congruent","0","2","4","a","418","6","113"
"congruent","1","2","6","a","485","4","113"
"incongruent","1","3","6","l","547","3","113"
"congruent","1","1","3","a","801","2","113"
"congruent","1","4","3","l","432","7","113"
"congruent","1","1","2","l","496","3","113"
"congruent","1","3","6","a","595","3","113"
"congruent","1","1","4","l","497","5","113"
"incongruent","1","4","3","a","603","7","113"
"congruent","1","2","4","a","452","2","113"
"congruent","1","3","5","a","338","2","113"
"incongruent","0","2","4","a","352","2","113"
"congruent","1","3","4","l","471","7","113"
"incongruent","0","4","4","l","414","8","113"
"congruent","1","2","5","a","736","3","113"
"incongruent","1","4","6","l","466","2","113"
"congruent","1","3","2","l","703","5","113"
"congruent","1","4","8","a","1105","4","113"
"congruent","1","2","6","a","620","4","113"
"incongruent","1","3","5","l","544","2","113"
"incongruent","1","2","2","a","596","4","113"
"incongruent","1","4","7","l","440","3","113"
"congruent","1","4","2","l","507","6","113"
"congruent","1","2","2","l","401","4","113"
"incongruent","1","3","7","l","529","4","113"
"incongruent","1","1","5","l","625","4","113"
"congruent","1","1","3","l","418","4","113"
"congruent","1","3","2","l","543","5","113"
"congruent","1","2","4","a","575","2","113"
"congruent","1","1","4","a","447","3","113"
"incongruent","1","1","2","a","428","3","113"
"incongruent","1","2","5","l","548","3","113"
"congruent","1","1","4","a","941","3","113"
"congruent","1","2","5","a","1193","3","113"
"incongruent","1","1","5","l","509","4","113"
"incongruent","1","4","3","a","753","7","113"
"congruent","1","1","4","a","482","3","113"
"congruent","0","4","6","l","638","2","113"
"incongruent","1","1","2","a","537","3","113"
"incongruent","1","2","4","a","1379","6","113"
"congruent","1","2","4","a","436","2","113"
"incongruent","1","2","3","a","455","5","113"
"incongruent","1","2","3","a","340","5","113"
"congruent","1","2","6","a","370","4","113"
"congruent","1","4","7","a","388","3","113"
"congruent","1","4","6","a","410","2","113"
"congruent","1","2","3","l","562","5","113"
"congruent","1","2","4","l","450","6","113"
"incongruent","1","4","8","l","367","4","113"
"incongruent","1","2","4","l","320","2","113"
"congruent","1","3","7","a","640","4","113"
"congruent","1","3","7","a","332","4","113"
"congruent","1","4","2","l","529","6","113"
"incongruent","1","4","6","l","466","2","113"
"incongruent","1","3","2","a","494","5","113"
"incongruent","1","3","3","a","528","6","113"
"congruent","1","3","3","l","674","6","113"
"incongruent","0","4","2","l","399","6","113"
"incongruent","1","1","4","l","771","3","113"
"incongruent","1","3","6","l","402","3","113"
"congruent","1","1","5","a","545","4","113"
"congruent","1","4","7","a","451","3","113"
"incongruent","1","4","6","l","592","2","113"
"congruent","1","3","3","l","495","6","113"
"congruent","1","3","2","l","419","5","113"
"congruent","1","4","2","l","449","6","113"
"congruent","1","3","6","a","477","3","113"
"incongruent","1","3","2","a","336","5","113"
"congruent","1","3","5","a","330","2","113"
"incongruent","0","2","6","a","315","4","113"
"congruent","1","3","4","l","589","7","113"
"incongruent","1","4","7","l","301","3","113"
"incongruent","0","3","4","l","333","7","113"
"incongruent","1","1","3","l","574","2","113"
"congruent","1","1","2","l","526","3","113"
"incongruent","1","2","5","l","416","3","113"
"incongruent","1","2","2","a","525","4","113"
"congruent","1","4","4","l","423","8","113"
"incongruent","1","1","3","a","511","4","113"
"congruent","1","1","2","l","448","3","113"
"incongruent","1","2","4","l","458","2","113"
"congruent","1","1","4","l","482","5","113"
"congruent","1","4","4","l","477","8","113"
"congruent","1","2","2","l","401","4","113"
"congruent","1","2","4","l","352","6","113"
"incongruent","1","3","5","l","425","2","113"
"incongruent","1","2","4","a","575","6","113"
"incongruent","1","3","7","l","510","4","113"
"incongruent","0","3","4","l","722","7","113"
"congruent","1","2","4","a","904","2","113"
"congruent","1","1","3","l","635","4","113"
"incongruent","1","4","4","a","755","8","113"
"incongruent","1","3","5","l","635","2","113"
"incongruent","1","1","3","l","816","2","113"
"incongruent","1","1","2","a","735","3","113"
"congruent","1","2","2","l","592","4","113"
"incongruent","1","3","3","a","750","6","113"
"incongruent","1","4","8","l","552","4","113"
"congruent","1","3","5","a","935","2","113"
"incongruent","1","2","5","l","496","3","113"
"congruent","1","4","8","a","796","4","113"
"congruent","1","3","4","l","532","7","113"
"congruent","1","2","6","a","723","4","113"
"incongruent","1","1","4","l","590","3","113"
"congruent","1","2","3","l","573","5","113"
"incongruent","0","2","2","l","363","4","113"
"incongruent","1","4","3","a","713","7","113"
"incongruent","1","1","5","l","637","4","113"
"congruent","1","1","5","a","769","4","113"
"congruent","1","4","3","l","624","7","113"
"congruent","1","3","6","a","575","3","113"
"congruent","1","2","5","a","433","3","113"
"incongruent","0","4","4","l","671","8","113"
"incongruent","1","2","6","l","602","4","113"
"congruent","1","3","2","l","544","5","113"
"congruent","1","1","3","a","1305","2","113"
"congruent","1","1","4","l","857","5","113"
"incongruent","1","4","7","l","450","3","113"
"congruent","1","1","3","a","605","2","113"
"incongruent","1","3","7","l","483","4","113"
"congruent","1","4","8","a","560","4","113"
"incongruent","1","1","3","a","480","4","113"
"congruent","1","1","3","l","1011","4","113"
"incongruent","1","3","6","l","562","3","113"
"congruent","1","4","3","l","466","7","113"
"incongruent","1","1","4","a","622","5","113"
"incongruent","1","4","2","a","2061","6","113"
"incongruent","1","1","4","a","1143","5","113"
